WKT,name,description
"POINT (19.8321604 41.339508)",Spitali Nr 2 (Kirurgjia),
"POINT (19.7950452 41.3428371)",Spitali Universitar i Traumës,
"POINT (19.838233 41.3314402)",Gynecological Obstetric University Hospital "Koço Gliozheni",
"POINT (19.8188857 41.3318443)",Onkologjiku,
"POINT (19.8336703 41.3409926)",Kardiologjia,
"POINT (19.832615 41.3412802)",QSUT Spitali Qendror,
"POINT (19.8345706 41.34033549999999)",Mother Teresa Hospital,
"POINT (19.8313221 41.3390479)",Spitali Infektiv,
"POINT (19.8437353 41.31273600000001)",Sanatorium,
"POINT (19.8340515 41.3393178)",Institute of Forensic Medicine,
